cue,target,correct
DC,>><>>,f
NC,--<--,f
SC,>>>>>,j
SC,--<--,f
CC,-->--,j
CC,<<><<,j
DC,<<<<<,f
NC,<<><<,j
NC,>><>>,f
DC,-->--,j
DC,>>>>>,j
NC,>>>>>,j
SC,-->--,j
NC,--<--,f
NC,--<--,f
DC,<<<<<,f
SC,<<<<<,f
SC,-->--,j
DC,--<--,f
NC,<<><<,j
SC,<<<<<,f
SC,<<><<,j
DC,--<--,f
CC,>><>>,f
SC,-->--,j
CC,<<<<<,f
NC,>><>>,f
CC,>>>>>,j
CC,>>>>>,j
CC,>>>>>,j
NC,-->--,j
SC,<<<<<,f
SC,>>>>>,j
NC,-->--,j
SC,-->--,j
CC,>>>>>,j
DC,-->--,j
DC,--<--,f
CC,--<--,f
SC,-->--,j
SC,<<><<,j
CC,--<--,f
CC,--<--,f
CC,>><>>,f
NC,>>>>>,j
CC,>>>>>,j
SC,>><>>,f
CC,<<><<,j
SC,<<><<,j
DC,<<><<,j
CC,<<<<<,f
DC,<<<<<,f
DC,--<--,f
SC,>>>>>,j
DC,<<><<,j
NC,--<--,f
NC,>><>>,f
SC,--<--,f
DC,<<><<,j
NC,<<><<,j
DC,<<><<,j
CC,--<--,f
CC,-->--,j
DC,>><>>,f
CC,<<><<,j
NC,<<<<<,f
SC,<<<<<,f
SC,>><>>,f
CC,<<><<,j
NC,--<--,f
SC,<<><<,j
NC,<<><<,j
SC,>>>>>,j
CC,-->--,j
CC,<<<<<,f
NC,>>>>>,j
NC,-->--,j
DC,>><>>,f
DC,<<<<<,f
DC,--<--,f
CC,<<<<<,f
NC,<<><<,j
NC,>>>>>,j
SC,>><>>,f
SC,>><>>,f
NC,-->--,j
CC,<<><<,j
DC,-->--,j
CC,>><>>,f
DC,>>>>>,j
DC,>>>>>,j
SC,<<><<,j
NC,<<<<<,f
SC,>>>>>,j
NC,>><>>,f
DC,<<<<<,f
CC,-->--,j
SC,<<<<<,f
SC,--<--,f
NC,<<<<<,f
NC,<<<<<,f
NC,>>>>>,j
SC,--<--,f
DC,>><>>,f
NC,<<<<<,f
SC,--<--,f
CC,<<<<<,f
DC,-->--,j
DC,>><>>,f
DC,>>>>>,j
CC,-->--,j
CC,>><>>,f
CC,>><>>,f
DC,<<><<,j
SC,>><>>,f
CC,--<--,f
NC,-->--,j
NC,>><>>,f
DC,>>>>>,j
DC,-->--,j
