cue,target,correct
CC,--<--,f
NC,--<--,f
SC,-->--,j
DC,<<<<<,f
SC,-->--,j
DC,-->--,j
CC,>><>>,f
SC,--<--,f
SC,--<--,f
NC,<<<<<,f
NC,>>>>>,j
CC,--<--,f
SC,<<<<<,f
CC,<<><<,j
CC,-->--,j
CC,>>>>>,j
DC,-->--,j
NC,<<<<<,f
CC,--<--,f
SC,<<<<<,f
NC,<<><<,j
DC,<<<<<,f
DC,>>>>>,j
NC,>><>>,f
NC,-->--,j
CC,--<--,f
SC,<<><<,j
SC,<<<<<,f
DC,<<<<<,f
DC,>><>>,f
SC,<<><<,j
CC,>><>>,f
NC,<<<<<,f
DC,-->--,j
NC,-->--,j
CC,<<<<<,f
NC,>><>>,f
CC,-->--,j
DC,>>>>>,j
DC,>>>>>,j
SC,>>>>>,j
SC,-->--,j
CC,-->--,j
CC,<<<<<,f
CC,--<--,f
DC,>>>>>,j
SC,--<--,f
CC,<<><<,j
DC,--<--,f
DC,-->--,j
SC,<<><<,j
SC,--<--,f
SC,<<><<,j
SC,<<<<<,f
NC,>>>>>,j
CC,<<><<,j
CC,<<><<,j
DC,>><>>,f
NC,<<><<,j
DC,<<><<,j
CC,>>>>>,j
DC,--<--,f
SC,<<><<,j
CC,>><>>,f
SC,-->--,j
SC,>><>>,f
DC,<<><<,j
CC,<<<<<,f
SC,>><>>,f
DC,--<--,f
DC,>><>>,f
NC,<<<<<,f
NC,<<><<,j
DC,--<--,f
CC,>>>>>,j
CC,>>>>>,j
SC,>>>>>,j
SC,--<--,f
SC,>><>>,f
DC,--<--,f
DC,-->--,j
NC,-->--,j
CC,<<<<<,f
NC,<<><<,j
SC,>>>>>,j
NC,--<--,f
NC,>>>>>,j
NC,--<--,f
DC,<<<<<,f
DC,>><>>,f
NC,-->--,j
NC,<<<<<,f
CC,-->--,j
NC,--<--,f
CC,>><>>,f
DC,>><>>,f
DC,<<><<,j
CC,-->--,j
NC,--<--,f
SC,>><>>,f
SC,>>>>>,j
DC,<<><<,j
SC,>><>>,f
CC,<<><<,j
CC,>>>>>,j
NC,>>>>>,j
SC,>>>>>,j
NC,<<><<,j
NC,>>>>>,j
NC,>><>>,f
NC,>><>>,f
SC,-->--,j
NC,-->--,j
CC,>><>>,f
DC,<<><<,j
DC,>>>>>,j
NC,>><>>,f
CC,<<<<<,f
DC,<<<<<,f
SC,<<<<<,f
