cue,target,correct
NC,>><>>,f
NC,<<><<,j
SC,>><>>,f
DC,>>>>>,j
CC,<<><<,j
SC,<<<<<,f
DC,--<--,f
SC,<<><<,j
SC,>>>>>,j
CC,--<--,f
NC,>>>>>,j
DC,>><>>,f
SC,<<<<<,f
CC,<<><<,j
NC,>>>>>,j
SC,>><>>,f
NC,--<--,f
DC,>>>>>,j
NC,<<<<<,f
DC,>><>>,f
SC,-->--,j
CC,<<<<<,f
DC,<<<<<,f
SC,-->--,j
NC,>>>>>,j
DC,--<--,f
NC,--<--,f
SC,<<<<<,f
NC,<<<<<,f
SC,>>>>>,j
DC,<<><<,j
CC,-->--,j
DC,<<<<<,f
SC,--<--,f
DC,>>>>>,j
DC,-->--,j
SC,<<<<<,f
SC,>>>>>,j
SC,<<><<,j
CC,>><>>,f
NC,>><>>,f
NC,>><>>,f
CC,--<--,f
CC,>><>>,f
DC,<<<<<,f
CC,--<--,f
SC,>>>>>,j
NC,>>>>>,j
SC,<<><<,j
SC,>>>>>,j
DC,-->--,j
CC,>>>>>,j
CC,-->--,j
NC,>>>>>,j
CC,<<<<<,f
DC,<<><<,j
NC,>><>>,f
CC,>>>>>,j
DC,>><>>,f
CC,--<--,f
CC,-->--,j
NC,>><>>,f
CC,-->--,j
NC,--<--,f
CC,-->--,j
NC,<<><<,j
DC,--<--,f
CC,<<><<,j
SC,<<<<<,f
NC,-->--,j
SC,--<--,f
CC,>><>>,f
DC,<<><<,j
NC,<<<<<,f
DC,>>>>>,j
CC,<<<<<,f
SC,-->--,j
DC,<<><<,j
CC,<<><<,j
SC,<<><<,j
DC,>><>>,f
SC,--<--,f
SC,>><>>,f
DC,-->--,j
DC,<<<<<,f
NC,-->--,j
NC,<<<<<,f
CC,<<><<,j
DC,-->--,j
SC,-->--,j
NC,-->--,j
CC,>><>>,f
DC,-->--,j
SC,>><>>,f
NC,<<<<<,f
SC,>><>>,f
CC,<<<<<,f
NC,--<--,f
SC,--<--,f
NC,<<><<,j
DC,<<><<,j
NC,<<><<,j
CC,>>>>>,j
CC,--<--,f
NC,<<><<,j
CC,>><>>,f
CC,>>>>>,j
DC,<<<<<,f
DC,--<--,f
SC,<<><<,j
SC,-->--,j
SC,--<--,f
DC,>>>>>,j
DC,>><>>,f
CC,<<<<<,f
DC,--<--,f
NC,-->--,j
NC,-->--,j
NC,--<--,f
CC,>>>>>,j
