cue,target,correct
CC,--<--,f
SC,<<><<,j
SC,>>>>>,j
NC,>><>>,f
DC,--<--,f
CC,>>>>>,j
NC,>>>>>,j
CC,<<<<<,f
NC,>><>>,f
CC,<<><<,j
SC,-->--,j
DC,--<--,f
CC,<<<<<,f
DC,>><>>,f
DC,<<<<<,f
SC,--<--,f
CC,<<<<<,f
DC,>>>>>,j
CC,-->--,j
DC,<<><<,j
DC,<<><<,j
NC,<<><<,j
CC,>><>>,f
DC,-->--,j
SC,-->--,j
NC,<<><<,j
SC,--<--,f
DC,>>>>>,j
DC,>>>>>,j
NC,<<><<,j
DC,<<<<<,f
DC,>>>>>,j
NC,--<--,f
SC,<<><<,j
DC,<<<<<,f
CC,<<<<<,f
CC,<<><<,j
SC,>><>>,f
NC,-->--,j
DC,<<<<<,f
SC,-->--,j
DC,>><>>,f
NC,<<<<<,f
SC,-->--,j
NC,<<><<,j
NC,--<--,f
CC,-->--,j
DC,--<--,f
NC,-->--,j
DC,>><>>,f
CC,<<><<,j
NC,<<<<<,f
NC,--<--,f
SC,<<><<,j
SC,-->--,j
DC,<<><<,j
SC,--<--,f
DC,<<><<,j
NC,<<<<<,f
DC,<<<<<,f
NC,<<><<,j
CC,-->--,j
NC,>><>>,f
CC,--<--,f
SC,<<<<<,f
SC,<<<<<,f
DC,>><>>,f
CC,<<<<<,f
NC,<<<<<,f
SC,>><>>,f
SC,--<--,f
DC,-->--,j
CC,-->--,j
CC,-->--,j
CC,>><>>,f
SC,<<><<,j
DC,>><>>,f
SC,>>>>>,j
CC,--<--,f
SC,--<--,f
CC,>><>>,f
SC,>><>>,f
SC,>>>>>,j
CC,<<><<,j
CC,--<--,f
SC,>>>>>,j
DC,-->--,j
NC,--<--,f
SC,<<><<,j
CC,>>>>>,j
CC,>>>>>,j
NC,-->--,j
SC,<<<<<,f
CC,>><>>,f
SC,>>>>>,j
CC,--<--,f
DC,--<--,f
NC,>>>>>,j
CC,>>>>>,j
DC,>>>>>,j
SC,<<<<<,f
NC,-->--,j
NC,>>>>>,j
DC,--<--,f
DC,-->--,j
NC,>><>>,f
DC,<<><<,j
NC,>>>>>,j
CC,>>>>>,j
NC,--<--,f
SC,>><>>,f
NC,>>>>>,j
NC,<<<<<,f
NC,-->--,j
CC,<<><<,j
SC,<<<<<,f
CC,>><>>,f
DC,-->--,j
SC,>><>>,f
NC,>><>>,f
