cue,target,correct
CC,-->--,j
NC,<<><<,j
DC,--<--,f
SC,--<--,f
CC,>>>>>,j
CC,>><>>,f
CC,<<<<<,f
CC,<<<<<,f
SC,>>>>>,j
CC,<<<<<,f
DC,-->--,j
SC,<<<<<,f
NC,--<--,f
NC,-->--,j
SC,-->--,j
SC,--<--,f
DC,--<--,f
CC,--<--,f
DC,>><>>,f
NC,--<--,f
DC,<<><<,j
DC,<<<<<,f
CC,>>>>>,j
NC,>>>>>,j
DC,>><>>,f
SC,<<<<<,f
SC,--<--,f
NC,>>>>>,j
CC,<<><<,j
NC,<<<<<,f
CC,-->--,j
SC,<<<<<,f
NC,-->--,j
SC,>><>>,f
SC,>><>>,f
SC,>><>>,f
NC,>><>>,f
NC,-->--,j
SC,<<><<,j
CC,<<><<,j
CC,<<<<<,f
DC,>><>>,f
DC,>>>>>,j
CC,--<--,f
NC,--<--,f
DC,-->--,j
NC,>>>>>,j
DC,<<><<,j
DC,-->--,j
DC,--<--,f
DC,--<--,f
SC,-->--,j
SC,-->--,j
SC,--<--,f
DC,<<><<,j
DC,<<<<<,f
NC,<<<<<,f
CC,>>>>>,j
NC,--<--,f
DC,<<<<<,f
NC,-->--,j
SC,<<<<<,f
NC,--<--,f
SC,<<<<<,f
CC,-->--,j
CC,>>>>>,j
CC,>><>>,f
DC,>>>>>,j
SC,>>>>>,j
DC,-->--,j
DC,<<<<<,f
CC,--<--,f
NC,<<><<,j
CC,<<><<,j
DC,-->--,j
SC,<<><<,j
DC,<<><<,j
SC,>><>>,f
DC,--<--,f
CC,--<--,f
NC,<<><<,j
DC,>><>>,f
CC,>><>>,f
NC,>><>>,f
DC,>><>>,f
SC,>>>>>,j
CC,-->--,j
NC,>><>>,f
NC,>><>>,f
DC,<<<<<,f
NC,<<><<,j
CC,--<--,f
CC,>><>>,f
CC,>><>>,f
NC,<<<<<,f
NC,-->--,j
CC,<<><<,j
CC,-->--,j
CC,>>>>>,j
CC,<<<<<,f
NC,<<<<<,f
SC,>>>>>,j
NC,>><>>,f
DC,<<><<,j
SC,<<><<,j
SC,>><>>,f
DC,>>>>>,j
NC,>>>>>,j
SC,-->--,j
SC,<<><<,j
SC,--<--,f
NC,<<><<,j
NC,<<<<<,f
SC,-->--,j
SC,>>>>>,j
CC,<<><<,j
SC,<<><<,j
NC,>>>>>,j
DC,>>>>>,j
DC,>>>>>,j
