cue,target,correct
CC,>><>>,f
DC,>>>>>,j
CC,--<--,f
SC,-->--,j
NC,-->--,j
SC,<<<<<,f
SC,<<><<,j
DC,<<<<<,f
DC,>><>>,f
SC,--<--,f
NC,>>>>>,j
DC,--<--,f
DC,<<<<<,f
SC,<<<<<,f
NC,<<><<,j
CC,-->--,j
CC,--<--,f
CC,-->--,j
SC,>>>>>,j
NC,<<><<,j
DC,>><>>,f
SC,>>>>>,j
CC,>>>>>,j
DC,<<<<<,f
NC,--<--,f
SC,<<<<<,f
DC,-->--,j
SC,>><>>,f
NC,<<<<<,f
NC,>>>>>,j
NC,<<<<<,f
NC,>>>>>,j
CC,<<><<,j
CC,--<--,f
SC,<<><<,j
DC,<<><<,j
SC,<<><<,j
SC,>>>>>,j
NC,--<--,f
CC,-->--,j
DC,--<--,f
CC,<<><<,j
CC,>>>>>,j
SC,<<<<<,f
CC,<<<<<,f
DC,>><>>,f
SC,--<--,f
SC,<<><<,j
SC,--<--,f
NC,-->--,j
SC,<<<<<,f
CC,>>>>>,j
NC,<<<<<,f
CC,--<--,f
CC,<<<<<,f
NC,<<<<<,f
CC,>>>>>,j
SC,-->--,j
SC,>><>>,f
DC,>>>>>,j
DC,-->--,j
CC,>><>>,f
NC,-->--,j
CC,>><>>,f
CC,-->--,j
DC,>><>>,f
SC,-->--,j
NC,-->--,j
SC,>>>>>,j
DC,<<><<,j
SC,--<--,f
DC,<<<<<,f
DC,<<><<,j
CC,>><>>,f
NC,<<><<,j
DC,-->--,j
NC,>><>>,f
CC,--<--,f
NC,--<--,f
CC,<<><<,j
DC,<<><<,j
DC,>>>>>,j
DC,>><>>,f
DC,>>>>>,j
DC,--<--,f
SC,<<><<,j
CC,<<<<<,f
NC,>><>>,f
DC,--<--,f
NC,-->--,j
DC,-->--,j
CC,>><>>,f
NC,>><>>,f
CC,<<<<<,f
DC,-->--,j
DC,<<><<,j
NC,>><>>,f
SC,>><>>,f
DC,--<--,f
SC,--<--,f
NC,--<--,f
SC,-->--,j
DC,<<<<<,f
NC,<<><<,j
SC,-->--,j
DC,>>>>>,j
NC,>><>>,f
CC,>>>>>,j
CC,<<><<,j
SC,>><>>,f
CC,<<<<<,f
NC,>>>>>,j
SC,>><>>,f
NC,<<><<,j
NC,--<--,f
SC,>>>>>,j
CC,<<><<,j
NC,>>>>>,j
NC,<<<<<,f
CC,-->--,j
