cue,target,correct
DC,<<<<<,f
NC,<<<<<,f
CC,--<--,f
SC,-->--,j
DC,>>>>>,j
NC,<<><<,j
DC,>><>>,f
CC,--<--,f
NC,-->--,j
DC,-->--,j
CC,-->--,j
SC,--<--,f
CC,<<<<<,f
SC,<<><<,j
NC,<<<<<,f
DC,<<<<<,f
NC,<<<<<,f
NC,<<<<<,f
DC,<<><<,j
CC,--<--,f
SC,>><>>,f
DC,-->--,j
SC,<<<<<,f
DC,>><>>,f
DC,>>>>>,j
CC,<<<<<,f
DC,<<><<,j
DC,>><>>,f
SC,<<<<<,f
NC,>>>>>,j
DC,<<<<<,f
DC,<<<<<,f
NC,--<--,f
CC,>>>>>,j
CC,>>>>>,j
CC,>><>>,f
CC,>><>>,f
NC,>><>>,f
SC,-->--,j
NC,>>>>>,j
SC,<<><<,j
CC,<<><<,j
SC,>>>>>,j
CC,-->--,j
DC,-->--,j
NC,>><>>,f
SC,--<--,f
SC,<<<<<,f
CC,>>>>>,j
DC,--<--,f
DC,>><>>,f
NC,<<><<,j
CC,>>>>>,j
NC,<<><<,j
NC,-->--,j
CC,<<<<<,f
SC,<<><<,j
CC,<<><<,j
DC,<<<<<,f
CC,--<--,f
DC,--<--,f
SC,--<--,f
SC,>>>>>,j
SC,-->--,j
SC,>>>>>,j
CC,-->--,j
DC,<<><<,j
NC,<<><<,j
SC,--<--,f
DC,--<--,f
DC,>>>>>,j
DC,>>>>>,j
CC,<<><<,j
CC,-->--,j
CC,>><>>,f
SC,<<<<<,f
NC,--<--,f
CC,>>>>>,j
NC,--<--,f
NC,-->--,j
NC,>><>>,f
CC,-->--,j
DC,<<><<,j
CC,<<<<<,f
SC,<<><<,j
NC,>>>>>,j
NC,>><>>,f
DC,-->--,j
CC,<<><<,j
SC,-->--,j
CC,>><>>,f
SC,>><>>,f
SC,>><>>,f
NC,<<><<,j
NC,-->--,j
DC,--<--,f
SC,>>>>>,j
DC,--<--,f
NC,>><>>,f
CC,<<<<<,f
NC,-->--,j
SC,-->--,j
NC,--<--,f
CC,<<><<,j
NC,<<<<<,f
DC,-->--,j
SC,<<><<,j
SC,--<--,f
CC,>><>>,f
NC,>>>>>,j
SC,>><>>,f
DC,>>>>>,j
SC,<<<<<,f
DC,<<><<,j
DC,>><>>,f
SC,>>>>>,j
NC,>>>>>,j
CC,--<--,f
SC,>><>>,f
NC,--<--,f
