cue,target,correct
SC,>>>>>,j
NC,<<<<<,f
CC,>>>>>,j
NC,>>>>>,j
DC,<<><<,j
DC,>>>>>,j
SC,--<--,f
CC,--<--,f
NC,-->--,j
SC,<<><<,j
DC,--<--,f
SC,>><>>,f
CC,<<><<,j
NC,--<--,f
CC,>>>>>,j
NC,<<><<,j
DC,>><>>,f
CC,>>>>>,j
NC,>><>>,f
SC,>>>>>,j
NC,>><>>,f
NC,-->--,j
CC,<<><<,j
NC,>>>>>,j
NC,-->--,j
SC,<<<<<,f
DC,>><>>,f
NC,<<<<<,f
DC,<<><<,j
CC,>>>>>,j
NC,>>>>>,j
CC,>>>>>,j
SC,-->--,j
SC,-->--,j
NC,<<><<,j
CC,<<<<<,f
DC,<<><<,j
CC,>><>>,f
DC,--<--,f
NC,<<<<<,f
SC,--<--,f
SC,--<--,f
DC,>><>>,f
SC,--<--,f
NC,--<--,f
SC,<<><<,j
SC,-->--,j
DC,>>>>>,j
SC,<<><<,j
CC,<<><<,j
DC,<<<<<,f
NC,>><>>,f
NC,<<><<,j
CC,-->--,j
SC,>><>>,f
CC,<<<<<,f
NC,--<--,f
SC,>><>>,f
CC,<<><<,j
DC,>>>>>,j
CC,-->--,j
CC,-->--,j
CC,--<--,f
DC,-->--,j
SC,>><>>,f
DC,>>>>>,j
CC,>><>>,f
SC,>>>>>,j
NC,-->--,j
DC,>><>>,f
SC,<<><<,j
CC,<<><<,j
NC,--<--,f
SC,>>>>>,j
SC,<<<<<,f
CC,<<<<<,f
CC,--<--,f
SC,<<><<,j
DC,<<><<,j
SC,<<<<<,f
CC,-->--,j
CC,>><>>,f
DC,--<--,f
CC,>><>>,f
SC,-->--,j
SC,<<<<<,f
DC,<<><<,j
DC,<<<<<,f
NC,<<<<<,f
CC,>><>>,f
CC,--<--,f
NC,-->--,j
DC,--<--,f
NC,>><>>,f
DC,-->--,j
SC,-->--,j
DC,>>>>>,j
DC,-->--,j
SC,<<<<<,f
SC,>>>>>,j
NC,<<><<,j
NC,>>>>>,j
NC,>><>>,f
DC,>><>>,f
DC,-->--,j
DC,<<<<<,f
CC,--<--,f
DC,<<<<<,f
NC,--<--,f
DC,--<--,f
NC,<<<<<,f
NC,>>>>>,j
SC,>><>>,f
DC,-->--,j
CC,<<<<<,f
CC,-->--,j
SC,--<--,f
CC,<<<<<,f
NC,<<><<,j
DC,<<<<<,f
