cue,target,correct
SC,--<--,f
DC,-->--,j
SC,>>>>>,j
DC,>>>>>,j
SC,--<--,f
DC,>><>>,f
SC,>><>>,f
NC,--<--,f
NC,<<><<,j
NC,--<--,f
SC,-->--,j
CC,--<--,f
SC,--<--,f
CC,>><>>,f
CC,>><>>,f
SC,>><>>,f
SC,<<><<,j
NC,>>>>>,j
DC,-->--,j
DC,-->--,j
CC,--<--,f
DC,-->--,j
CC,<<><<,j
NC,>><>>,f
CC,<<><<,j
NC,-->--,j
DC,--<--,f
NC,>><>>,f
NC,>>>>>,j
CC,-->--,j
CC,<<<<<,f
SC,-->--,j
NC,>>>>>,j
SC,>>>>>,j
DC,<<><<,j
SC,<<<<<,f
CC,<<><<,j
CC,>>>>>,j
CC,<<<<<,f
DC,<<><<,j
CC,-->--,j
NC,<<<<<,f
DC,>><>>,f
CC,--<--,f
SC,>><>>,f
NC,<<<<<,f
CC,>><>>,f
DC,>>>>>,j
NC,<<><<,j
NC,-->--,j
SC,<<><<,j
NC,>>>>>,j
DC,<<><<,j
DC,<<><<,j
SC,<<><<,j
CC,<<<<<,f
NC,-->--,j
CC,>><>>,f
CC,-->--,j
SC,<<<<<,f
NC,<<<<<,f
DC,>><>>,f
SC,<<<<<,f
NC,-->--,j
DC,>>>>>,j
CC,-->--,j
SC,>>>>>,j
DC,>>>>>,j
DC,>><>>,f
NC,>><>>,f
CC,>>>>>,j
SC,--<--,f
NC,--<--,f
NC,-->--,j
SC,-->--,j
SC,--<--,f
DC,<<<<<,f
DC,<<><<,j
CC,<<<<<,f
CC,>><>>,f
SC,<<<<<,f
SC,<<><<,j
CC,--<--,f
SC,<<><<,j
SC,>>>>>,j
CC,>>>>>,j
CC,<<><<,j
DC,<<<<<,f
SC,<<<<<,f
DC,>>>>>,j
DC,--<--,f
SC,-->--,j
NC,<<<<<,f
DC,<<<<<,f
CC,-->--,j
CC,>>>>>,j
CC,>>>>>,j
DC,--<--,f
SC,-->--,j
SC,>><>>,f
DC,<<<<<,f
NC,>><>>,f
NC,--<--,f
DC,>><>>,f
NC,>><>>,f
DC,<<<<<,f
DC,-->--,j
NC,>>>>>,j
NC,--<--,f
CC,--<--,f
NC,<<><<,j
DC,--<--,f
CC,<<<<<,f
NC,<<<<<,f
SC,>>>>>,j
DC,--<--,f
SC,>><>>,f
CC,<<><<,j
NC,<<><<,j
NC,<<><<,j
